Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Algorithm:parent,path,certificate,forest,edge,root,dictionary,bag,factor,configuration,branch,chain,sequence,bridge,pattern,depth,height,null,cycle,reduction
Law:wanted poster,crime,quickly,claim,task force,enable,guarantee,interests,freedom,drugs,district attorney,quantity,defense,recovery,good guys,expert,challenge,hire,branch,rank,abuse,procedure,missing person,domestic,attack,damage,failure,pattern,criminal,criminal justice system
Gaming:score,sport,strategy,vehicle,flight,platform,camp,adventure,flag,spam,scene,gun,plasma,rail,animation
Chemical Elements:Gold,Silver,Lead,Iron,Carbon,Mercury,Platinum,Copper,Aluminum,Oxygen
Smoking:legal age,package,filter,smoking section,non smoking section,smoke,lung cancer,addiction,ash,ash tray
Hotel:rent,restaurant,electric fan,switch,suite,sheet,coffee shop,waste paper basket,easy chair,electric iron,dining room,dining hall,desk,information desk,checkout,single with bath,postal service,tip,smoking set,tea table
Finance:economy,demand,supply and demand,selling,certificate,currency,balance,accounting,guarantee,joint account,premium,quantity,certified,counter,failure,draft,chart,profit,variable,taxes,maintain,savings,void,bear,gain,capital gain,equity,assets,portfolio,utilities
Algebra:definition,elements,difficult,root,square root,balance,letters,professor,factor,quantity,examples,procedure,column,sequence,equal,variable,false,flag,changing,expression,replacement,zero,obtain,negative,row
Predator:human,monitor,ray,bear,fox,python,eagle,tiger,wolf,lion
Apex Predators:human,monitor,ray,bear,fox,python,eagle,tiger,wolf,lion
Computer:connect,module,monitor,root,bus,bug,keyword,username,argument,stream,platform,load,touch,multimedia,virus,interactive,chart,laser printer,icon,delete,mouse,graphic,script,alert,tag,disk,laptop,protocol,query,clip art
Mathematics:balance,context,foot,component,factor,scale factor,prime,limit,quantity,essential,comprehensive,rank,element,interactive,procedure,column,identify,sequence,inch,chart,equal,variable,pattern,measure,explore,concept,origin,expression,replacement,zero
Thanksgiving:football,Indian,fish,apple,serve,native,Native American,Massachusetts,eat,turkey,tom turkey,recipe,dinner,cook,leaves
Energy:wind farm,wind power,temperature,waste,motor,heat,heat exchange,generation,chemical energy,fuel,fuel cell,electrical,nuclear,nuclear power,nuclear energy,utilities,public utility,conservation,peak oil,climate change
Hobbies:play,reading,long distance running,play the guitar,play bridge,play tennis,hobbies,collecting stamps,play chess,listen to symphony,sewing,travelling,jogging
Bird:bill,martin,flight,bird,fly,turkey,bird watching,chicken,wing,rail
3D Graphics:flow,scale,frame,path,motion,edge,birth,draft,lighting,script,ray,depth,clip,font,scene,import,alpha,sky,spot,shape
Stationery:paper,book ends,paper clips,clip,tape,folder,appointment book,label maker,pen,filing box
School:tests,graduate school,bus,dictionary,professor,doctor,meetings,competition,goals,smart,latin,lab,baseball,baseball field,clubs,basketball,assembly,adults,desk,laptop,paper clip,clip board,tape,roll call,fail,portfolio,junior high,junior college,junior high school,meaning
Network:resolution,session,driver,path,switch,patch cable,bridge,protocol,layer,transmission,multi hop,adapter,node,transaction,gateway
Flower:stock,rose,flower,forget me not,Johnny jump up,morning glory,florist,bachelor button,heather,wild prairie rose
Halloween:dead,cat,black cat,fantasy,orange,spirit,magic,queen,cape,moon,fear,dress up,evil,angel,hat
Travel:pass,driver,trip,suite,flight,checkout,origin,destination,seat,ticket,operator,transit,coach,leisure,carrier
Music:gear,listen,canon,bus,patch,stream,theme,guitar,column,chain,sequence,mix,disk,measure,gain,zoom,perform,conduct,minor,dynamic,import,beat,signature,circuit,layer
Telephone:yellow pages,telephone,telephone book,telephone card,long distance call,desk phone,recorded message,telephone operator,touch tone phone,busy tone,dial phone,dial tone,collect call,telephone booth,unlisted number
Appearance:light,dark,flat,clean,bright,burning,brilliant,sunny,worn,pale
Place:airport,gas station,hospital,restaurant,museum,bus stop,train station,apartment building,movie theater,mall,convenience store,bowling alley,barber shop,supermarket
Room:pool room,studio,clean room,suite,emergency room,cold room,recovery room,breakfast room,assembly room,dining room,changing room,waiting room,utility room,bedroom,formal dining room,chamber,classroom,drawing room,sitting room,bathroom
Country:Italy,Iraq,Spain,Israel,Russia,North Korea,South Korea,Brazil,Turkey,Thailand,Iran,Taiwan,Greece,Pakistan,Egypt
Vacation:currency,bus,tour bus,travel bag,flight,walk,weekend,chart,boat,carry on,train,train station,explore,destination,recreation,bags,tip,ticket,fly,cruise,cruise ship,outdoors,reservations,bike,trail
Restaurant:cup,coffee,ice,cold,chair,breakfast,dining,dining room,roll,rare,drink,eat,tip,tea,high tea,tea party,dinner,cream,salt,cook
Clothes:shirt,T shirt,button down shirt,apparel,pocket,train,lingerie,wear,cape,dress,dress shirt,clothes,cap,baseball cap,hat
Catering:wine,restaurant,cup,breakfast,prepared,dining room,tip,dinner,salt,cook,plate,cooking,chocolate,dish,rice
Military:rank,element,quarter,column,attack,camp,bridge,draft,chart,fort,boat,void,fix,truck,intelligence,battle,wire,fight,theater,injury,bird,academy,mine,delta,arms,dot,kill,aircraft,conflict,specialist
Tree:apple,forest,palm,orange,rings,rain forest,oak,live oak,white oak,northern red oak
Meat:heart,hot dog,turkey,chicken,chicken breast,buffalo,chicken leg,chicken wing,beef,tongue
Newspaper:background,advance,advice column,advertisement,evening edition,carry,brief,editorial,comics,beat,newspaper office,bulletin,cartoon,banner,blank
Winter:black ice,cold,ice fishing,heat,snow,below zero,ice crystal,ski,zero degrees,cap,ice cap,raw,hat,hot chocolate,hockey
Temperature:hot,cool,cold,warm,burning,chill,freezing,icy,molten,frosty
Kindness:responsibility,interested,understanding,respect,helpful,patient,sweet,warm,reliable,accessible,willing,familiar,genuine,pleasant,honest
Weather:marine,damage,snow,snow level,snow line,movement,pattern,direction,ocean,dry,dry season,query,sub zero,physics,extreme,forecast,weather forecast,cycle,water cycle,accuracy,regulation,moon,sky,exposure,conversion,influence,rain,acid rain,climate,instruction
Football:end,guard,middle guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Animal:bug,bed bug,mouse,ray,bear,black bear,brown bear,bird,fly,house fly,turkey,bass,gnu,ram,fox
Law:maintain,interview,handle,vice,behavior,duty,laboratory,intelligence,protocol,partnership,judge,fight,secret,injury,conduct,extreme,behind bars,scene,violence,police academy,reduction,prevention,majority,appeal,beat,provision,influence,proof,dna,backup
Sport:horse racing,auto racing,movement,baseball,basketball,flag football,winning,tag,fight,minor league,row,cycle,rings,ski,water ski,ski wear,soccer,fly fishing,golf clothes,tennis,table tennis,hole in one,ride,walking,fitness walking,walking race,coach,baseball hat,bike,home plate
Holiday:Earth Day,Chinese New Year,Youth Day,Day of the Dead,Labor Day,Election Day,Flag Day,Memorial Day,Columbus Day,Independence Day,Spring Festival Eve,Pi Day,midnight,Halloween,celebrate
Geography:scale,scale bar,nation,forest,rose,stream,creek,chart,ocean,cape,delta,relief map,ratio,peak,great circle,plain,border,territory,northwest,parallel,legend,map maker,desert,woods,globe
Software:input,output,bug,variable,expression,loop,commit,container,app,artifact
Refrigerator:glass cover,storage door,fan,switch,handle,shelf,egg tray,ice cube tray,drain pan,freezer door
Hair:brown hair,black hair,red hair,straight hair,permanent,gray hair,auburn hair,blond hair,kinky hair,beard
Food:breakfast,sweet,dry,provisions,roll,drink,eat,nutrition,turkey,tea,green tea,black tea,recipe,dinner,cream,ice cream,salt,cook,plate,chocolate
Money Related:currency,balance,rich,quarter,reserve,dollar,profit,savings,bought,equity,economics,cent,portfolio,spend,Euro,percentage,investor,stocks,earn,bargain,earnings,deposit,expensive,donate,bankruptcy
Plant:root,branch,flower,perfect flower,agriculture,rings,root tip,grow,rain forest,root cap,soil,fruit,node,guard cell,pulse
People Related:creative,interesting,helpful,successful,rich,famous,practical,crazy,cute,dangerous,exciting,thin,athletic,lucky,romantic
Insect:bug,water bug,June bug,fly,house fly,horse fly,fruit fly,walking stick,egg,cricket
Job Related:maintain,enlarge,revenue,height,perform,married,birthday,assist,conduct,representative,gender,junior college,junior high school,bonus,certification,slow down,serial production,work permit,recorded,establish,employer,spread,specialist,reason for leaving,elementary school,launch,crafts,notify,authorized,retirement
Character:patient,soft,serious,smart,religious,funny,proper,plain,warm,bright,sensitive,bold,proud,quiet,tough
Fortification:keep,station,fort,tower,castle,canal,bunker,outpost,citadel,turret
Geometry:edge,minute,solid,rank,disk,ray,height,translation,circuit,interior,circle,linear,slide,node,formula,grid,parallel,plane,leg,angle
Shape:square,solid,disc,straight,disk,ray,dot,shape,compact,circle,broad,narrow,plane,thin,line segment
Motorcycle:engine,chain,turn signal,seat,gas tank,gear shift,inner tube,tail light,drum brake,disk brake
Farm:cat,pick,produce,agriculture,turkey,grow,soil,ram,fruit,kid,rice,milk,chicken,stable,buffalo
Reading:literature,magazines,vision,kinds,brain,gain,intelligence,sharing,comics,proof read,enhance,choices,scan,pleasure,quiet,joy,fundamental,escape,memories,publish
Leisure Activity:horse racing,auto racing,baseball,basketball,water ski,soccer,gambling,tennis,table tennis,ride,mountain bike,go on a safari,hockey,field hockey,ice hockey,painting,eating,drama,attend classes,swimming
